크롤링 시작 시간: 2025-12-09 16:39:38.837131
총 상품 수: 59914
이미 저장됨: 3604
크롤링 대상: 56310

❌ CSV 50번 | ID: 4556447 | SQL 오류
❌ CSV 64번 | ID: 4993411 | SQL 오류
❌ CSV 101번 | ID: 4613450 | SQL 오류
❌ CSV 307번 | ID: 3304654 | SQL 오류
❌ CSV 346번 | ID: 3223947 | SQL 오류
❌ CSV 378번 | ID: 5307542 | SQL 오류
❌ CSV 379번 | ID: 2060760 | SQL 오류
❌ CSV 380번 | ID: 4352405 | SQL 오류
❌ CSV 382번 | ID: 4108579 | SQL 오류
❌ CSV 392번 | ID: 2124440 | SQL 오류
❌ CSV 409번 | ID: 4274025 | SQL 오류
❌ CSV 410번 | ID: 1970106 | SQL 오류
❌ CSV 411번 | ID: 1176331 | SQL 오류
❌ CSV 412번 | ID: 4308206 | SQL 오류
❌ CSV 413번 | ID: 3757147 | SQL 오류
❌ CSV 414번 | ID: 3475928 | SQL 오류
❌ CSV 432번 | ID: 4250214 | SQL 오류
❌ CSV 433번 | ID: 5313497 | SQL 오류
❌ CSV 434번 | ID: 2684183 | SQL 오류
❌ CSV 435번 | ID: 3757179 | SQL 오류
❌ CSV 436번 | ID: 3646381 | SQL 오류
❌ CSV 437번 | ID: 3874070 | SQL 오류
❌ CSV 438번 | ID: 3757158 | SQL 오류
❌ CSV 439번 | ID: 3757146 | SQL 오류
❌ CSV 441번 | ID: 3613296 | SQL 오류
❌ CSV 442번 | ID: 1312035 | SQL 오류
❌ CSV 443번 | ID: 4993415 | SQL 오류
❌ CSV 466번 | ID: 4342832 | SQL 오류
❌ CSV 660번 | ID: 2391745 | SQL 오류
❌ CSV 712번 | ID: 4302299 | SQL 오류
❌ CSV 714번 | ID: 5336606 | SQL 오류
❌ CSV 715번 | ID: 5045741 | SQL 오류
❌ CSV 745번 | ID: 4577688 | SQL 오류
❌ CSV 746번 | ID: 2447806 | SQL 오류
❌ CSV 912번 | ID: 4750061 | SQL 오류
❌ CSV 951번 | ID: 3758353 | SQL 오류
❌ CSV 952번 | ID: 1180383 | SQL 오류
❌ CSV 953번 | ID: 3364276 | SQL 오류
❌ CSV 984번 | ID: 2550821 | SQL 오류
❌ CSV 991번 | ID: 947058 | SQL 오류
❌ CSV 992번 | ID: 4365478 | SQL 오류
❌ CSV 997번 | ID: 3699220 | SQL 오류
❌ CSV 1004번 | ID: 5147086 | SQL 오류
❌ CSV 2629번 | ID: 5307540 | SQL 오류
❌ CSV 2646번 | ID: 4624095 | SQL 오류
❌ CSV 2662번 | ID: 2568759 | SQL 오류
❌ CSV 3530번 | ID: 2310688 | SQL 오류
❌ CSV 3532번 | ID: 4711450 | SQL 오류
❌ CSV 3534번 | ID: 3840549 | SQL 오류
❌ CSV 3614번 | ID: 3134702 | SQL 오류
❌ CSV 3615번 | ID: 4296119 | SQL 오류
❌ CSV 3616번 | ID: 4113006 | SQL 오류
❌ CSV 3617번 | ID: 3191085 | SQL 오류
❌ CSV 3618번 | ID: 3051671 | SQL 오류
❌ CSV 3619번 | ID: 2361832 | SQL 오류
❌ CSV 3655번 | ID: 4644785 | SQL 오류
❌ CSV 3656번 | ID: 4088076 | SQL 오류
❌ CSV 3660번 | ID: 4396827 | SQL 오류
❌ CSV 3661번 | ID: 3918525 | SQL 오류
❌ CSV 3662번 | ID: 3758715 | SQL 오류
❌ CSV 3665번 | ID: 4449336 | SQL 오류
❌ CSV 3666번 | ID: 4243965 | SQL 오류
❌ CSV 3667번 | ID: 3848321 | SQL 오류
❌ CSV 3668번 | ID: 3758190 | SQL 오류
❌ CSV 3669번 | ID: 3627676 | SQL 오류
❌ CSV 3670번 | ID: 5513434 | SQL 오류
❌ CSV 3671번 | ID: 4658032 | SQL 오류
❌ CSV 3672번 | ID: 4352413 | SQL 오류
❌ CSV 3673번 | ID: 1753542 | SQL 오류
❌ CSV 3674번 | ID: 5294732 | SQL 오류
❌ CSV 3675번 | ID: 4977107 | SQL 오류
❌ CSV 3676번 | ID: 4356175 | SQL 오류
❌ CSV 3677번 | ID: 3910338 | SQL 오류
❌ CSV 3678번 | ID: 2760334 | SQL 오류
❌ CSV 3679번 | ID: 2501399 | SQL 오류
❌ CSV 3680번 | ID: 2352305 | SQL 오류
❌ CSV 3681번 | ID: 4391411 | SQL 오류
❌ CSV 3682번 | ID: 4037805 | SQL 오류
❌ CSV 3683번 | ID: 5382532 | SQL 오류
❌ CSV 3684번 | ID: 5034971 | SQL 오류
❌ CSV 3685번 | ID: 4545013 | SQL 오류
❌ CSV 3686번 | ID: 5385122 | SQL 오류
❌ CSV 3687번 | ID: 4999952 | SQL 오류
❌ CSV 3688번 | ID: 4370070 | SQL 오류
❌ CSV 3689번 | ID: 4060622 | SQL 오류
❌ CSV 3690번 | ID: 3495024 | SQL 오류
❌ CSV 3691번 | ID: 2560831 | SQL 오류
❌ CSV 3692번 | ID: 2508880 | SQL 오류
❌ CSV 3693번 | ID: 2022383 | SQL 오류
❌ CSV 3694번 | ID: 1854665 | SQL 오류
❌ CSV 3695번 | ID: 4834660 | SQL 오류
❌ CSV 3696번 | ID: 2602326 | SQL 오류
❌ CSV 3697번 | ID: 1311991 | SQL 오류
❌ CSV 3698번 | ID: 4852849 | SQL 오류
❌ CSV 3699번 | ID: 4808305 | SQL 오류
❌ CSV 3700번 | ID: 4719569 | SQL 오류
❌ CSV 3701번 | ID: 4461189 | SQL 오류
❌ CSV 3702번 | ID: 1145196 | SQL 오류
❌ CSV 3703번 | ID: 5007599 | SQL 오류
❌ CSV 3704번 | ID: 4719869 | SQL 오류
❌ CSV 3705번 | ID: 4447811 | SQL 오류
❌ CSV 3706번 | ID: 3928305 | SQL 오류
❌ CSV 3707번 | ID: 3826588 | SQL 오류
❌ CSV 3708번 | ID: 2998514 | SQL 오류
❌ CSV 3709번 | ID: 2402847 | SQL 오류
❌ CSV 3710번 | ID: 5385674 | SQL 오류
❌ CSV 3711번 | ID: 4830920 | SQL 오류
❌ CSV 3712번 | ID: 4747465 | SQL 오류
❌ CSV 3713번 | ID: 4572266 | SQL 오류
❌ CSV 3714번 | ID: 3090384 | SQL 오류
❌ CSV 3715번 | ID: 5275783 | SQL 오류
❌ CSV 3716번 | ID: 5080898 | SQL 오류
❌ CSV 3717번 | ID: 4950977 | SQL 오류
❌ CSV 3718번 | ID: 4714951 | SQL 오류
❌ CSV 3719번 | ID: 3758191 | SQL 오류
❌ CSV 3720번 | ID: 3757171 | SQL 오류
❌ CSV 3721번 | ID: 2477848 | SQL 오류
❌ CSV 3722번 | ID: 1616171 | SQL 오류
❌ CSV 3723번 | ID: 5215617 | SQL 오류
❌ CSV 3724번 | ID: 4670280 | SQL 오류
❌ CSV 3725번 | ID: 4658036 | SQL 오류
❌ CSV 3726번 | ID: 3983768 | SQL 오류
❌ CSV 3727번 | ID: 3920008 | SQL 오류
❌ CSV 3728번 | ID: 3139356 | SQL 오류
❌ CSV 3729번 | ID: 4860657 | SQL 오류
❌ CSV 3730번 | ID: 4761413 | SQL 오류
❌ CSV 3731번 | ID: 4728965 | SQL 오류
❌ CSV 3732번 | ID: 4594160 | SQL 오류
❌ CSV 3733번 | ID: 4459995 | SQL 오류
❌ CSV 3734번 | ID: 4251389 | SQL 오류
❌ CSV 3735번 | ID: 3840866 | SQL 오류
❌ CSV 3736번 | ID: 3495038 | SQL 오류
❌ CSV 3737번 | ID: 1852556 | SQL 오류
❌ CSV 3738번 | ID: 5663301 | SQL 오류
❌ CSV 3739번 | ID: 4804271 | SQL 오류
❌ CSV 3740번 | ID: 4508626 | SQL 오류
❌ CSV 3741번 | ID: 3861437 | SQL 오류
❌ CSV 3742번 | ID: 2754955 | SQL 오류
❌ CSV 3743번 | ID: 2377238 | SQL 오류
❌ CSV 3744번 | ID: 2164653 | SQL 오류
❌ CSV 3745번 | ID: 2116445 | SQL 오류
❌ CSV 3746번 | ID: 4663932 | SQL 오류
❌ CSV 3747번 | ID: 4658041 | SQL 오류
