크롤링 시작 시간: 2025-12-09 16:46:12.127750
총 상품 수: 59914
이미 저장됨: 3604
크롤링 대상: 56310

❌ CSV 50번 | ID: 4556447 | 상품명 크롤링 실패
❌ CSV 64번 | ID: 4993411 | 상품명 크롤링 실패
❌ CSV 101번 | ID: 4613450 | 상품명 크롤링 실패
❌ CSV 307번 | ID: 3304654 | 상품명 크롤링 실패
❌ CSV 346번 | ID: 3223947 | 상품명 크롤링 실패
❌ CSV 378번 | ID: 5307542 | 상품명 크롤링 실패
❌ CSV 379번 | ID: 2060760 | 상품명 크롤링 실패
❌ CSV 380번 | ID: 4352405 | 상품명 크롤링 실패
❌ CSV 382번 | ID: 4108579 | 상품명 크롤링 실패
❌ CSV 392번 | ID: 2124440 | 상품명 크롤링 실패
❌ CSV 409번 | ID: 4274025 | 상품명 크롤링 실패
❌ CSV 410번 | ID: 1970106 | 상품명 크롤링 실패
